Model,Label,Classes,Accuracy,Macro precision,Macro recall,Macro F1,Weighted F1
Logistic Regression,y2,3,0.7142857142857143,0.6872082166199812,0.6860902255639098,0.6850295673825085,0.7159975101151572
Random Forest,y2,3,0.7380952380952381,0.8166666666666668,0.6467731829573934,0.6623931623931624,0.7203907203907204
Logistic Regression,y3,11,0.5,0.3752913752913753,0.447774020850944,0.3693528693528693,0.514172335600907
Random Forest,y3,11,0.6428571428571429,0.49903846153846154,0.488348830656523,0.4817098610202058,0.6502581527212068
Logistic Regression,y4,14,0.5,0.34901960784313724,0.3995416348357525,0.3384932920536636,0.5071010860484545
Random Forest,y4,14,0.6428571428571429,0.4255952380952381,0.4551542207792208,0.43116946778711485,0.6031639322395626
